,Country Name,Indicator Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,number of countries,Gender
52,Australia,"Adjusted net enrollment rate, primary,   (% of primary school age children)",95.60031127929692,95.5914688110352,95.6274185180664,96.1597213745117,96.42868041992192,96.7674102783203,96.9512100219727,97.55316162109379,97.5955810546875,97.5138092041016,97.62960815429692,98.1510772705078,97.9214935302734,97.6394424438477,97.36380004882808,97.4809036254883,,,223,F
6966,Australia,"Employment in agriculture,   (% of   employment) (modeled ILO estimate)",6.099999904632571,5.800000190734861,5.400000095367429,4.90000009536743,4.5,4.40000009536743,4.30000019073486,4.19999980926514,4.19999980926514,4.19999980926514,4.099999904632569,3.70000004768372,3.79999995231628,3.70000004768372,3.70000004768372,3.70000004768372,3.5999999046325697,3.5999999046325697,232,M
29383,Australia,"School enrollment, tertiary,   (% gross)",73.95166015625,73.961181640625,83.500602722168,81.2675323486328,79.5849304199219,80.8050079345703,80.6734619140625,82.3916778564453,83.5086212158203,88.9345169067383,94.4553985595703,97.7951278686523,100.404228210449,101.673408508301,106.308807373047,,,,226,F
7198,Australia,"Employment in industry,   (% of   employment) (modeled ILO estimate)",10.5,10.0,10.0,10.0,9.69999980926514,9.80000019073486,9.39999961853027,9.39999961853027,9.39999961853027,9.19999980926514,8.89999961853027,8.0,7.599999904632571,8.89999961853027,8.699999809265138,8.60000038146973,8.300000190734862,8.199999809265138,232,F
29157,Australia,"School enrollment, tertiary (gross), gender parity index (GPI)",1.22541999816895,1.2265700101852401,1.2223299741745,1.23389995098114,1.24002003669739,1.2586200237274199,1.2848800420761102,1.3029099702835099,1.3249499797821003,1.35845005512238,1.38099002838135,1.39395999908447,1.40529000759125,1.40312004089355,1.4098900556564298,,,,226,N
7430,Australia,"Employment in industry,   (% of   employment) (modeled ILO estimate)",30.600000381469698,29.600000381469698,29.7999992370605,29.899999618530302,30.7000007629395,30.7999992370605,31.0,31.0,31.600000381469698,31.0,30.7999992370605,30.0,29.899999618530302,33.7000007629395,33.2999992370605,32.7999992370605,32.2999992370605,32.0,232,M
28948,Australia,"School enrollment, secondary,   (% net)",,,86.8681793212891,85.3728408813477,84.9198303222656,83.0445785522461,82.3937225341797,82.4762725830078,82.8259811401367,84.29225158691409,84.7020034790039,84.9909362792969,84.68927001953129,85.5710067749023,86.40151977539058,,,,208,M
7662,Australia,"Employment in services,   (% of   employment) (modeled ILO estimate)",86.0,86.5999984741211,86.9000015258789,87.4000015258789,87.5999984741211,87.8000030517578,88.3000030517578,88.4000015258789,88.5,88.5999984741211,88.8000030517578,90.0,90.4000015258789,89.3000030517578,89.5,89.6999969482422,90.0,90.1999969482422,232,F
28714,Australia,"School enrollment, secondary,   (% gross)",161.588638305664,155.357727050781,155.665237426758,157.085220336914,151.549606323242,150.105422973633,127.46981048584,125.999649047852,128.049453735352,131.483932495117,134.42170715332,136.387832641602,139.09538269043,141.235336303711,141.254013061523,,,,235,M
7894,Australia,"Employment in services,   (% of   employment) (modeled ILO estimate)",63.2999992370605,64.59999847412111,64.6999969482422,65.1999969482422,64.8000030517578,64.90000152587889,64.6999969482422,64.8000030517578,64.1999969482422,64.8000030517578,65.09999847412111,66.3000030517578,66.3000030517578,62.7000007629395,63.0999984741211,63.5,64.0,64.40000152587889,232,M
28505,Australia,"School enrollment, secondary,   (% net)",,,89.9023666381836,87.99624633789058,87.7538223266602,87.0208587646484,86.51074981689449,86.5628204345703,86.97543334960942,87.7932510375977,87.88128662109379,87.9113006591797,87.64733123779301,88.1780471801758,88.8223724365234,,,,208,F
8126,Australia,"Employment to population ratio, 15+,   (%) (modeled ILO estimate)",51.5,51.7000007629395,52.0,52.7000007629395,52.7000007629395,54.0999984741211,54.7999992370605,55.5,56.0,55.5999984741211,55.5999984741211,55.9000015258789,55.7000007629395,55.4000015258789,55.0999984741211,55.0,55.0999984741211,55.0,232,F
28271,Australia,"School enrollment, secondary,   (% gross)",163.69172668457,154.587326049805,152.87228393554702,155.244476318359,148.22204589843798,146.496826171875,127.30307006835899,126.762977600098,128.017395019531,129.05960083007798,130.339508056641,131.989242553711,134.502624511719,133.671310424805,133.62927246093798,,,,235,F
8337,Australia,"Employment to population ratio, 15+,   (%) (national estimate)",51.2000007629395,51.5,51.7999992370605,52.5999984741211,52.5999984741211,54.0,54.7000007629395,55.2999992370605,55.9000015258789,55.5999984741211,55.5,55.7000007629395,55.5999984741211,55.4000015258789,55.0,55.4000015258789,55.7999992370605,,211,F
